,,# of A,# of B,# of X,W_B,EN_B,EA_B,1IE_B,2IE_B,3IE_B,D_B,S_B,HV_B,W_X,S_X,t(AR),u(IR),Eg (eV)
Cs3Sb2Br9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.22,0.39,2.37
Cs3Sb2Cl9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.26,0.42,2.77
Cs3Sb2l9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.18,0.35,1.77
Cs3Sc2Br9,A3B2X9,3,2,9,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,79.90,947.30,1.00,0.38,4.68
Cs3Sc2Cl9,A3B2X9,3,2,9,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,35.45,478.20,1.01,0.41,5.69
Cs3Sc2l9,A3B2X9,3,2,9,44.96,1.36,18.10,633.10,1235.00,2388.60,2985.00,567.00,318.00,126.90,429.00,0.98,0.34,3.42
Cs3Ti2l9,A3B2X9,3,2,9,47.87,1.54,7.60,658.80,1309.80,2652.50,4507.00,520.00,425.00,126.90,429.00,1.00,0.28,1.79
Cs3V2Br9,A3B2X9,3,2,9,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,79.90,947.30,1.05,0.28,2.19
Cs3V2Cl9,A3B2X9,3,2,9,50.94,1.63,50.60,650.90,1414.00,2830.00,6110.00,489.00,453.00,35.45,478.20,1.07,0.30,2.55
Cs3W2Br9,A3B2X9,3,2,9,183.84,2.36,78.60,770.00,1700.00,2510.00,19250.00,132.00,800.00,79.90,947.30,0.97,0.31,1.62
Cs3W2C19,A3B2X9,3,2,9,183.84,2.36,78.60,770.00,1700.00,2510.00,19250.00,132.00,800.00,35.45,478.20,0.98,0.33,1.60
Cu3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.24,0.34,1.80
K3Ga2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.04,0.32,1.32
K3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.06,0.34,2.74
K3In2BI9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,0.95,0.41,1.74
K3In2Cl9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,0.97,0.44,3.14
K3In2I9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.93,0.36,0.27
K3Sb2Br9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.05,0.39,2.29
K3Sb2Cl9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.07,0.42,2.64
K3Sb2I9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.02,0.35,1.68
Na3Ga2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,0.87,0.32,1.49
Na3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,0.88,0.34,2.68
Na3In2Br9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,0.80,0.41,1.64
Na3In2I9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.80,0.36,0.14
Rb3Ga2Br9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,79.90,947.30,1.10,0.32,1.38
Rb3Ga2Cl9,A3B2X9,3,2,9,69.72,1.81,28.90,578.80,1979.30,2963.00,5904.00,371.00,256.00,35.45,478.20,1.13,0.34,2.77
Rb3In2Br9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,79.90,947.30,1.02,0.41,1.77
Rb31n2Cl9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,35.45,478.20,1.04,0.44,3.14
Rb3In2I9,A3B2X9,3,2,9,114.82,1.78,28.90,558.30,1820.70,2704.00,7310.00,233.00,230.00,126.90,429.00,0.99,0.36,0.32
Rb3Sb2Br9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,79.90,947.30,1.12,0.39,2.32
Rb3Sb2Cl9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,35.45,478.20,1.15,0.42,2.70
Rb3Sb2I9,A3B2X9,3,2,9,121.76,2.05,103.20,834.00,1594.90,2440.00,6697.00,207.00,68.00,126.90,429.00,1.08,0.35,1.71
Cs4BaBr6,A4BX6,4,1,6,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,79.90,947.30,0.80,0.69,5.38
Cs4BaCl6,A4BX6,4,1,6,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,35.45,478.20,0.80,0.75,6.28
Cs4Bal6,A4BX6,4,1,6,137.33,0.89,13.95,502.90,965.20,3600.00,3510.00,205.00,140.00,126.90,429.00,0.79,0.61,4.58
